Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
,,,,,
error exponent,error exponent,1,1,1,760
,,,,,
convolutional codes,convolutional codes,1,1,1,761
,,,,,
first error event,error probability,0.225528136,0.32,1,762
,,,,,
time invariant codes,time invariant codes,0.999999762,1,1,763
,,,,,
periodically time variant codes,periodically time variant codes,1,1,1,764
,,,,,
"['error exponent', 'convolutional codes', 'first error event', 'time invariant codes', 'periodically time variant codes']","['error exponent', 'convolutional codes', 'error probability', 'time invariant codes', 'yudkin viterbi exponent', 'periodically time variant codes']",N/A,0.21,1,765
,,,,,
online reputation management,online reputation management,1,1,1,766
,,,,,
decision making trial and evaluation laboratory,online reputation management,0.088518955,0.32,1,767
,,,,,
analytic network process,online reputation management,0.191304192,0.12,1,768
,,,,,
network relation map,online reputation management,0.150682643,0.21,1,769
,,,,,
decision making process,online reputation management,0.144545078,0.31,1,770
,,,,,
"['online reputation management', 'decision making trial and evaluation laboratory', 'analytic network process', 'network relation map', 'decision making process']","['online reputation management', 'mcdm', 'professional services of marketing', 'dematel', 'danp']",N/A,0.1,1,771
,,,,,
digital,digital research,0.473266602,0.5,1,772
,,,,,
research library,digital libraries,0.496478587,0.4,1,773
,,,,,
primarily print,digital research,0.021912515,0.35,1,774
,,,,,
e learning,digital research,-0.02046939,0.54,10,775
,,,,,
"['digital', 'research library', 'primarily print', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning', 'e learning']","['digital research', 'libraries', 'mass digitization', 'digital libraries']",N/A,0.4,1,776
,,,,,
multiple myeloma,multiple myeloma,1,1,1,777
,,,,,
microenvironment,bone marrow microenvironment,0.459306747,0.6,1,778
,,,,,
cytokines,multiple myeloma,-0.060269065,0.4,1,779
,,,,,
homing,novel therapies,0.000952607,0.3,1,780
,,,,,
angiogenesis,multiple myeloma,-0.041173276,0.2,1,781
,,,,,
mri,bone marrow microenvironment,-0.203839242,0.4,3,782
,,,,,
mri mri,multiple myeloma,-0.223314941,0.1,1,783
,,,,,
"['multiple myeloma', 'microenvironment', 'cytokines', 'homing', 'angiogenesis', 'mri', 'mri', 'mri mri', 'mri']","['multiple myeloma', 'bone marrow microenvironment', 'novel therapies']",N/A,0.3,1,784
,,,,,
network service curve,network service curve,1,1,1,785
,,,,,
stochastic network calculus,stochastic network calculus,1,1,1,786
,,,,,
backlog analysis,stochastic network calculus,0.189144149,0.1,1,787
,,,,,
statistical multiplexing gain analysis,stochastic network calculus,0.284085661,0.21,1,788
,,,,,
"['network service curve', 'stochastic network calculus', 'backlog analysis', 'statistical multiplexing gain analysis']","['network service curve', 'stochastic network calculus', 'quality of service']",N/A,0.31,1,789
,,,,,
kinematic locking,locking,0.199061811,0.54,1,790
,,,,,
material point method,material point method,1.000000477,1,1,791
,,,,,
anti locking,locking,0.295368671,0.75,1,792
,,,,,
multi field variational principle,material point method,0.180721745,1,1,793
,,,,,
huwashizu principle,material point method,0.102066576,0.21,1,794
,,,,,
"['kinematic locking', 'material point method', 'anti locking', 'multi field variational principle', 'huwashizu principle']","['locking', 'material point method', 'meshfree methods', 'particle methods']",N/A,0.1,1,795
,,,,,
argumentation,argumentation schemes,0.628463686,0.31,1,796
,,,,,
deliberative democracy,deliberative democracy,1,1,1,797
,,,,,
dialectic theory,deliberative democracy,0.293523461,0.1,1,798
,,,,,
computational social science,deliberative democracy,0.287250102,0.1,1,799
,,,,,
"['argumentation', 'deliberative democracy', 'dialectic theory', 'computational social science']","['argumentation schemes', 'deliberative democracy', 'informal logic', 'ciceronian rhetoric', 'carneades model', 'fallacies', 'persuasion']",N/A,0.43,1,800
,,,,,
roadmaker's algorithm,clustering algorithms,0.146031201,0.32,1,801
,,,,,
discrete pulse transform,discrete transforms,0.587338865,0.1,1,802
,,,,,
highlight conjecture,discrete transforms,0.048294537,0.1,1,803
,,,,,
lulu filtering,nonlinear filters,0.136847571,0.2,1,804
,,,,,
feature extraction,signal analysis,0.269336432,0.1,7,805
,,,,,
feature flattening,signal analysis,0.121203296,0.2,1,806
,,,,,
"[""roadmaker's algorithm"", 'discrete pulse transform', 'highlight conjecture', 'lulu filtering', 'feature extraction', 'feature flattening', 'feature extraction', 'feature extraction', 'feature extraction', 'feature extraction', 'feature extraction', 'feature extraction']","['clustering algorithms', 'digital filters', 'digital signal processing', 'discrete transforms', 'multidimensional signal processing', 'nonlinear filters', 'signal analysis', 'tree graphs']",N/A,0.32,1,807
,,,,,
implementation relations,formal approaches to testing,-0.020236362,0.21,1,808
,,,,,
test generation,formal approaches to testing,0.036731817,0.1,1,809
,,,,,
conformance,formal approaches to testing,-0.127678737,0.04,1,810
,,,,,
ioco,systems with distributed ports,-0.282946885,0.04,1,811
,,,,,
distributed systems,systems with distributed ports,0.402387768,0.43,1,812
,,,,,
"['implementation relations', 'test generation', 'conformance', 'ioco', 'distributed systems']","['formal approaches to testing', 'systems with distributed ports', 'formal methodologies to develop distributed software systems']",N/A,0.32,1,813
,,,,,
dual centers,dual centers clustering,0.629042566,0.54,1,814
,,,,,
type <digit> fuzzy clustering,interval type <digit> fuzzy clustering,0.800763607,0.65,1,815
,,,,,
verification and validation indices,verification index,0.594231427,0.23,1,816
,,,,,
type <digit> fuzzy numbers,interval type <digit> fuzzy clustering,0.41658625,0.21,1,817
,,,,,
type <digit> fuzzy sets,interval type <digit> fuzzy clustering,0.489641994,0.1,1,818
,,,,,
"['dual centers', 'type <digit> fuzzy clustering', 'verification and validation indices', 'type <digit> fuzzy numbers', 'type <digit> fuzzy sets']","['dual centers clustering', 'interval type <digit> fuzzy clustering', 'pcm', 'cluster center uncertainty', 'validation index', 'verification index']",N/A,0.3,1,819
,,,,,
sharing,shared protection,0.366372317,0.4,1,820
,,,,,
survivability,shared protection,-0.031379554,0.2,1,821
,,,,,
optical networks,optical networks,1,1,1,822
,,,,,
protection,shared protection,0.427835673,0.56,1,823
,,,,,
oeos,optical networks,-0.117033899,0.23,5,824
,,,,,
optical transmission impairments,optical networks,0.400748014,0.21,1,825
,,,,,
oe,optical networks,-0.197820723,0.21,1,826
,,,,,
"['sharing', 'survivability', 'optical networks', 'protection', 'oeos', 'oeos', 'optical transmission impairments', 'oeos', 'oeos', 'oeos', 'oe']","['optical networks', 'shared protection']",N/A,0.1,1,827
,,,,,
error variance,error variance,0.999999762,1,1,828
,,,,,
consistent estimator,reliability ratio,0.018078117,0.31,1,829
,,,,,
ultrastructure,ultrastructural model,0.303536773,0.43,1,830
,,,,,
slope parameter,reliability ratio,0.229029268,0.13,1,831
,,,,,
sensitivity analysis,reliability ratio,0.182204068,0.13,1,832
,,,,,
"['error variance', 'consistent estimator', 'ultrastructure', 'slope parameter', 'sensitivity analysis']","['error variance', 'ultrastructural model', 'measurement errors', 'reliability ratio']",N/A,0.43,1,833
,,,,,
exact solution,heat equation,-0.045079265,0.21,1,834
,,,,,
heat equation,heat equation,1,1,1,835
,,,,,
boundary condition,variational iteration method,0.119878076,0.21,1,836
,,,,,
hes variational iteration method,variational iteration method,0.711570144,0.32,1,837
,,,,,
"['exact solution', 'heat equation', 'boundary condition', 'hes variational iteration method']","['heat equation', 'variational iteration method']",N/A,0.43,1,838
,,,,,
neighborhood search,neighborhoods,0.587340474,1,1,839
,,,,,
earlinesstardiness,earlinesstardiness cost,0.629268885,0.56,1,840
,,,,,
scheduling,scheduling,1,1,1,841
,,,,,
local search,search method,0.338828862,0.21,1,842
,,,,,
"['neighborhood search', 'earlinesstardiness', 'scheduling', 'local search']","['neighborhoods', 'scheduling', 'earlinesstardiness cost', 'single machine', 'search method']",N/A,0.45,1,843
,,,,,
power,dynamic power,0.373364598,0.65,1,844
,,,,,
inductance,inductive interconnect,0.183663771,0.54,1,845
,,,,,
interconnect,inductive interconnect,0.478416622,0.54,1,846
,,,,,
affect,inductive interconnect,-0.039428633,0.43,1,847
,,,,,
circuits,short circuit power,0.021993291,0.32,1,848
,,,,,
effect,characteristic impedance,0.019464165,0.43,1,849
,,,,,
size,characteristic impedance,-0.021920452,0.1,1,850
,,,,,
paper,dynamic power,-0.048306659,0.2,1,851
,,,,,
matching,inductive interconnect,-0.045193903,0.1,1,852
,,,,,
power consumption,transient power dissipation,0.377649456,0.23,1,853
,,,,,
power dissipation,transient power dissipation,0.617582917,0.45,1,854
,,,,,
dynamic,dynamic power,0.592846632,0.43,1,855
,,,,,
influence,inductive interconnect,0.190693215,0.54,1,856
,,,,,
optimality,dynamic power,0.042974018,0.23,1,857
,,,,,
transit,transient power dissipation,0.114374205,0.54,1,858
,,,,,
timing,dynamic power,-0.020496298,0.65,1,859
,,,,,
signaling,inductive interconnect,0.031110704,0.43,1,860
,,,,,
errors,characteristic impedance,0.041808385,0.32,1,861
,,,,,
"['power', 'inductance', 'interconnect', 'affect', 'circuits', 'effect', 'size', 'paper', 'matching', 'power consumption', 'power dissipation', 'dynamic', 'influence', 'optimality', 'transit', 'timing', 'signaling', 'errors']","['inductive interconnect', 'short circuit power', 'dynamic power', 'transient power dissipation', 'characteristic impedance', 'underdamped systems']",N/A,0.21,1,862
,,,,,
rungekutta scheme,65n22,-0.048916817,0.32,1,863
,,,,,
navierstokes equations,65n22,-0.007131208,0.32,1,864
,,,,,
multigrid,65n22,-0.1797418,0.54,1,865
,,,,,
implicit preconditioner,65n22,-0.329548299,0.23,1,866
,,,,,
cfl number,65n22,-0.070040666,0.1,1,867
,,,,,
roe scheme,65n22,-0.146797791,0.1,1,868
,,,,,
cusp scheme,65n22,-0.1224721,0.1,1,869
,,,,,
turbulence,65n22,-0.300606459,0.1,1,870
,,,,,
cell aspect,65n22,-0.19567135,0.04,1,871
,,,,,
"['rungekutta scheme', 'navierstokes equations', 'multigrid', 'implicit preconditioner', 'cfl number', 'roe scheme', 'cusp scheme', 'turbulence', 'cell aspect']","['65n22', '76h05']",N/A,0.04,1,872
,,,,,
domination,domination game,0.555370212,0.54,1,873
,,,,,
staller start,game domination number,-0.260525912,0.43,1,874
,,,,,
comb,domination game,-0.186482891,0.32,1,875
,,,,,
05c15,game domination number,-0.19762966,0.04,1,876
,,,,,
05c85,game domination number,-0.198078439,0.04,1,877
,,,,,
"['domination', 'staller start', 'comb', '05c15', '05c85']","['realizations', 'game domination number', 'domination game']",N/A,0.04,1,878
,,,,,
image based modeling,image based rendering,0.782992125,0.02,1,879
,,,,,
texture mapping,surface fitting,0.297441065,0.01,1,880
,,,,,
point splatting,sampling,-0.042506926,0.04,1,881
,,,,,
texture synthesis,surface fitting,0.293953419,0.05,1,882
,,,,,
occlusion,sampling,0.02008938,0.02,1,883
,,,,,
"['image based modeling', 'texture mapping', 'point splatting', 'texture synthesis', 'occlusion']","['lumiproxy', 'sampling', 'surface fitting', 'image based rendering']",N/A,0.06,1,884
,,,,,
sequence analysis,concept formation,0.42197749,0.02,1,885
,,,,,
constraint based logic,constraint handling rules,0.421774626,0.54,1,886
,,,,,
genetic structure analysis,protein structure,0.415042311,0.65,1,887
,,,,,
grammatical constraint handling rules,constraint handling rules,0.473561347,0.23,1,888
,,,,,
rna secondary structure reconstruction,rna secondary structure,0.812831521,0.52,1,889
,,,,,
"['sequence analysis', 'constraint based logic', 'genetic structure analysis', 'grammatical constraint handling rules', 'rna secondary structure reconstruction']","['concept formation', 'constraint handling rules', 'rna secondary structure', 'protein structure', 'gene prediction', 'constraint handling rule grammars']",N/A,0.05,1,890
,,,,,
load balancing,multiple path scheduling,0.198221013,0.02,1,891
,,,,,
multipath scheduling,multiple path scheduling,0.524770141,0.34,1,892
,,,,,
tcp,local domain,-0.120298252,0.2,1,893
,,,,,
pnea,multiple path scheduling,-0.154478878,0.12,1,894
,,,,,
ieee 802.11,multiple path scheduling,-0.246416733,0.04,1,895
,,,,,
"['load balancing', 'multipath scheduling', 'tcp', 'pnea', 'ieee 802.11']","['multiple path scheduling', 'multiple interface', 'local domain']",N/A,0.02,1,896
,,,,,
query by output,query by output,1.000000238,0.1,1,897
,,,,,
data driven approach,instance equivalent queries,-0.003867829,0.2,1,898
,,,,,
data classification,instance equivalent queries,0.097812161,0.32,1,899
,,,,,
output query,query by output,0.38530618,0.87,1,900
,,,,,
utility,query by output,-0.200897336,0.2,1,901
,,,,,
query optimization,instance equivalent queries,0.286184281,0.12,1,902
,,,,,
"['query by output', 'data driven approach', 'data classification', 'output query', 'utility', 'query optimization']","['query by output', 'instance equivalent queries', 'at least one semantics']",N/A,0.12,1,903
,,,,,
hiv <digit> reverse transcriptase,hiv <digit> rt,0.512147009,0.14,1,904
,,,,,
dipyridodiazepinone derivatives,nevirapine,0.11299669,0.52,1,905
,,,,,
comparative molecular field analysis,molecular modeling,0.385390967,0.32,1,906
,,,,,
semiempirical molecular orbital method,molecular modeling,0.275359631,0.21,1,907
,,,,,
three dimensional qsar,3d qsar,0.622994125,0.32,1,908
,,,,,
"['hiv <digit> reverse transcriptase', 'dipyridodiazepinone derivatives', 'comparative molecular field analysis', 'semiempirical molecular orbital method', 'three dimensional qsar']","['3d qsar', 'comfa', 'nevirapine', 'hiv <digit> rt', 'nnrti', 'quantum chemical calculations', 'molecular modeling']",N/A,0.15,1,909
,,,,,
radiosity method,hierarchical radiosity method,0.428891391,0.21,1,910
,,,,,
global illumination,granularity,0.149395034,0.21,1,911
,,,,,
task oriented shared memory,shared memory implementation,0.411745101,0.1,1,912
,,,,,
sb pram,hierarchical radiosity method,-0.164298639,0.1,1,913
,,,,,
parallel computing,shared memory implementation,0.232338428,0.1,1,914
,,,,,
"['radiosity method', 'global illumination', 'task oriented shared memory', 'sb pram', 'parallel computing']","['shared memory implementation', 'hierarchical radiosity method', 'granularity', 'scalability', 'task parallelism']",N/A,0.1,1,915
,,,,,
frequent itemset mining,frequent itemsets,0.359623015,0.1,1,916
,,,,,
data mining,data mining,1,1,3,917
,,,,,
"['frequent itemset mining', 'data mining', 'data mining', 'data mining']","['algorithms', 'frequent itemsets', 'association rule mining', 'data mining']",N/A,0.23,1,918
,,,,,
semi continuous network flow problems,network flow problems,0.593981385,0.34,1,919
,,,,,
inflow sets,network flow problems,0.101116419,0.21,1,920
,,,,,
transportation problems,network flow problems,0.5192132,0.1,1,921
,,,,,
polyhedral results,network flow problems,0.152784184,0.21,1,922
,,,,,
np completeness,network flow problems,-0.195408151,0.21,1,923
,,,,,
"['semi continuous network flow problems', 'inflow sets', 'transportation problems', 'polyhedral results', 'np completeness']","['network flow problems', 'mixed integer programming', 'semi continuous variables', '90c11', '90c35', '90c57']",N/A,0.1,1,924
,,,,,
message authentication code,block cipher,0.091383033,0.32,1,925
,,,,,
hash function,one way hash function,0.532828569,0.1,1,926
,,,,,
block cipher,block cipher,1,1,1,927
,,,,,
cryptography,cryptography,0.999999762,0.1,1,928
,,,,,
cryptanalysis,cryptography,0.668116152,0.65,1,929
,,,,,
"['message authentication code', 'hash function', 'block cipher', 'cryptography', 'cryptanalysis']","['one way hash function', 'block cipher', 'mac', 'cryptography']",N/A,0.54,1,930
,,,,,
uncertainty,uncertainty propagation,0.670338571,0.54,1,931
,,,,,
simulation,dynamic simulation,0.45214358,0.23,1,932
,,,,,
gaussian quadrature,stochastic simulation,0.253995121,0.24,1,933
,,,,,
percentiles,stochastic simulation,-0.065694824,0.12,1,934
,,,,,
monte carlo,stochastic simulation,-0.090968557,0.12,1,935
,,,,,
"['uncertainty', 'simulation', 'gaussian quadrature', 'percentiles', 'monte carlo']","['dynamic simulation', 'uncertainty propagation', 'stochastic simulation']",N/A,0.12,1,936
,,,,,
jade,njade,0.633240223,0.12,1,937
,,,,,
higher order neurons,higher order neurons,1,0.32,1,938
,,,,,
ica,njade,-0.016445993,0.43,1,939
,,,,,
image processing,independent component analysis,0.183495149,0.54,1,940
,,,,,
neural networks,neural network,0.897066236,0.43,1,941
,,,,,
pca learning rule,neural network,-0.004662257,0.13,1,942
,,,,,
"['jade', 'higher order neurons', 'ica', 'image processing', 'neural networks', 'pca learning rule']","['njade', 'higher order neurons', 'natural images', 'independent component analysis', 'neural network']",N/A,0.23,1,943
,,,,,
jpeg <digit>,jpeg <digit>,0.999999762,1,1,944
,,,,,
tiling artifacts,tiling artifacts,1,1,1,945
,,,,,
arithmetic coding,tiling artifacts,0.249999464,0.21,1,946
,,,,,
jpeg2000,jpeg <digit>,0.357792616,0.65,4,947
,,,,,
j,jpeg <digit>,0.064900883,0.23,1,948
,,,,,
"['jpeg <digit>', 'tiling artifacts', 'arithmetic coding', 'jpeg2000', 'jpeg2000', 'jpeg2000', 'jpeg2000', 'j']","['jpeg <digit>', 'tiling artifacts', 'rate control', 'acceleration of coding process']",N/A,0.34,1,949
,,,,,
laparoscopic myomectomy,laparoscopic myomectomy,0.999999762,0.45,1,950
,,,,,
uterine myomas,uterine myoma,0.916772008,0.23,1,951
,,,,,
infertility,fertility,0.678972185,0.4,1,952
,,,,,
hysteroromy,laparotomy,0.118387058,0.32,1,953
,,,,,
enucleation,fertility,0.109219313,0.32,1,954
,,,,,
suturing,fertility,0.099950023,0.21,1,955
,,,,,
extraction,fertility,0.208989576,0.32,1,956
,,,,,
implantation rate,fertility,0.019535808,0.21,1,957
,,,,,
uterus sut,uterine myoma,0.003842879,0.21,1,958
,,,,,
"['laparoscopic myomectomy', 'uterine myomas', 'infertility', 'hysteroromy', 'enucleation', 'suturing', 'extraction', 'implantation rate', 'uterus sut']","['laparoscopic myomectomy', 'uterine myoma', 'fertility', 'laparotomy']",N/A,0.23,1,959
,,,,,
antioxidant,hydroxychalcones,0.016009342,0.23,1,960
,,,,,
hydroxychalcone,hydroxychalcones,0.726533532,1,1,961
,,,,,
electron transfer,hydrogen atom transfer,0.447598457,0.23,1,962
,,,,,
hydrogen atom transfer,hydrogen atom transfer,1,1,1,963
,,,,,
stepwise electron transfer proton transfer,stepwise electron transfer proton transfer,0.999999762,0.12,1,964
,,,,,
sequential proton loss electron transfer,sequential proton loss electron transfer,0.999999762,1,1,965
,,,,,
"['antioxidant', 'hydroxychalcone', 'electron transfer', 'hydrogen atom transfer', 'stepwise electron transfer proton transfer', 'sequential proton loss electron transfer']","['hydroxychalcones', 'radical scavenging', 'dft', 'hydrogen atom transfer', 'stepwise electron transfer proton transfer', 'sequential proton loss electron transfer']",N/A,0.23,1,966
,,,,,
event based programming,program analysis,0.253468633,0.32,1,967
,,,,,
immutability analysis,program analysis,0.304487497,0.21,1,968
,,,,,
causality analysis,program analysis,0.387739837,0.12,1,969
,,,,,
distributed programming,distributed,0.398227811,0.12,1,970
,,,,,
event based software,program analysis,0.194194794,0.31,1,971
,,,,,
"['event based programming', 'immutability analysis', 'causality analysis', 'distributed programming', 'event based software']","['program analysis', 'event', 'distributed', 'language', 'correlation']",N/A,0.21,1,972
,,,,,
dynamic geometry,dynamic geometry,1,1,1,973
,,,,,
cocoa,envelopes,0.122393176,0.21,1,974
,,,,,
mathematica,dynamic geometry,0.245420739,0.35,1,975
,,,,,
geometric software,dynamic geometry,0.282762945,0.65,1,976
,,,,,
geometric curves,dynamic geometry,0.419637412,0.43,1,977
,,,,,
symbolic computation,symbolic computing,0.796492636,0.75,1,978
,,,,,
"['dynamic geometry', 'cocoa', 'mathematica', 'geometric software', 'geometric curves', 'symbolic computation']","['envelopes', 'dynamic geometry', 'symbolic computing', 'symbolic numeric interface', 'groebner bases', 'caustics', 'pedals']",N/A,0.34,1,979
,,,,,
okapi,probabilistic model,-0.101353683,0.23,1,980
,,,,,
contextual information retrieval,contextual information retrieval,1,0.1,1,981
,,,,,
relevance feedback,contextual information retrieval,0.084577203,0.21,1,982
,,,,,
query expansion with context,contextual information retrieval,0.215681463,0.1,1,983
,,,,,
blind learning,contextual information retrieval,0.073045194,0.1,1,984
,,,,,
"['okapi', 'contextual information retrieval', 'relevance feedback', 'query expansion with context', 'blind learning']","['contextual information retrieval', 'probabilistic model']",N/A,0.1,1,985
,,,,,
ternary description language,system theoretical laws,0.081857666,0.12,1,986
,,,,,
general systems theory,system theoretical laws,0.397378445,0.23,1,987
,,,,,
axiomatic system,axioms,0.45253256,0.41,1,988
,,,,,
system theory,system theoretical laws,0.598249972,0.31,1,989
,,,,,
axiom of inference,rules of substitution,0.280014545,0.51,1,990
,,,,,
system of inference,rules of substitution,0.363243639,0.31,1,991
,,,,,
"['ternary description language', 'general systems theory', 'axiomatic system', 'system theory', 'axiom of inference', 'system of inference']","['axioms', 'system theoretical laws', 'syntactical priority', 'synonymy', 'rules of substitution', 'rules of replacement', 'theorems of the tdl']",N/A,0.13,1,992
,,,,,
model quality,model quality,0.999999762,0.41,1,993
,,,,,
model based software development,model driven development,0.701543331,0.4,1,994
,,,,,
systematic review,systematic review,1.000000238,0.51,1,995
,,,,,
model quality goals,model quality,0.363137543,0.52,1,996
,,,,,
model quality practices,model quality,0.28653422,0.53,1,997
,,,,,
"['model quality', 'model based software development', 'systematic review', 'model quality goals', 'model quality practices']","['modelling', 'model quality', 'systematic review', 'model driven development', 'uml']",N/A,0.42,1,998
,,,,,
animal identification,electronic identification,0.222682327,0.32,1,999
,,,,,
transponder,transponder,1,1,1,1000
,,,,,
ear tag,transponder,-0.093958899,0.1,1,1001
,,,,,
rumenal bolusses,ruminant bolus,0.402121514,0.12,1,1002
,,,,,
ect,transponder,-0.133184835,0.31,6,1003
,,,,,
"['animal identification', 'transponder', 'ear tag', 'rumenal bolusses', 'ect', 'ect', 'ect', 'ect', 'ect', 'ect']","['transponder', 'electronic eartag', 'electronic identification', 'ruminant bolus']",N/A,0.41,1,1004
,,,,,
fractional variational iteration method,fractional variational iteration method,1,1,1,1005
,,,,,
fractional differential equations,fractional variational iteration method,0.486808687,0.53,1,1006
,,,,,
generalized lagrange multiplier,fractional variational iteration method,0.137271121,0.21,1,1007
,,,,,
fractional calculus,fractional variational iteration method,0.489269882,0.32,1,1008
,,,,,
"['fractional variational iteration method', 'fractional differential equations', 'generalized lagrange multiplier', 'fractional calculus']","['fractional variational iteration method', 'modified riemannliouville derivative', 'fractional corrected functional']",N/A,0.12,1,1009
,,,,,
privacy control,privacy protection,0.783320725,0.14,1,1010
,,,,,
digital diorama,sensing based real world content,0.026329622,0.12,1,1011
,,,,,
sensor fusion,sensing based real world content,0.203031495,0.21,1,1012
,,,,,
real time sensing,sensing based real world content,0.202792108,0.32,1,1013
,,,,,
"['privacy control', 'digital diorama', 'sensor fusion', 'real time sensing']","['sensing based real world content', 'benefits of viewers', 'privacy protection']",N/A,0.42,1,1014
,,,,,
wireless video streaming,wireless video streaming,0.999999762,1,1,1015
,,,,,
approximate authentication,approximate authentication,1,1,1,1016
,,,,,
error resilience,error resilient video coding,0.29580307,0.67,1,1017
,,,,,
h. <digit> avc,qos,-0.031297419,0.12,2,1018
,,,,,
"['wireless video streaming', 'approximate authentication', 'error resilience', 'h. <digit> avc', 'h. <digit> avc']","['wireless video streaming', 'approximate authentication', 'error resilient video coding', 'security', 'qos']",N/A,0.31,1,1019
,,,,,
qos,qos resource management,0.444547743,0.41,1,1020
,,,,,
resource management,qos resource management,0.532929301,0.65,1,1021
,,,,,
java,qos resource management,-0.112457305,0.12,1,1022
,,,,,
federative resource management,cooperative resource sharing,0.445270687,0.42,1,1023
,,,,,
qos federation,qos resource management,0.376210511,0.1,1,1024
,,,,,
"['qos', 'resource management', 'java', 'federative resource management', 'qos federation']","['qos resource management', 'distributed resources', 'cooperative resource sharing']",N/A,0.32,1,1025
,,,,,
order batching,order batching,1,1,1,1026
,,,,,
order picking,order picking,0.999999762,1,1,1027
,,,,,
on line scheduling,on line optimization,0.617777944,1,1,1028
,,,,,
competitive analysis of algorithms,on line optimization,0.187216759,0.1,1,1029
,,,,,
"['order batching', 'order picking', 'on line scheduling', 'competitive analysis of algorithms']","['order batching', 'order picking', 'warehouse management', 'on line optimization']",N/A,0.12,1,1030
,,,,,
noise,power supply noise,0.215138227,0.32,1,1031
,,,,,
decoupling capacitance,decoupling capacitance,0.999999762,1,1,1032
,,,,,
active noise cancellation,active noise cancellation,1,1,1,1033
,,,,,
v sag,power distribution,-0.228464723,0.21,2,1034
,,,,,
"['noise', 'decoupling capacitance', 'active noise cancellation', 'v sag', 'v sag']","['power supply noise', 'decoupling capacitance', 'active noise cancellation', 'on chip interconnect', 'power distribution']",N/A,0.1,1,1035
,,,,,
modal mu calculus,modal mu calculus,1,1,1,1036
,,,,,
tree width,tree width,0.999999762,1,1,1037
,,,,,
temporal logic,modal mu calculus,0.123681217,0.1,1,1038
,,,,,
parity games,modal mu calculus,-0.002295606,0.1,1,1039
,,,,,
buchi automata,modal mu calculus,-0.01255169,0.1,1,1040
,,,,,
alternating automata,modal mu calculus,-0.014622966,0.1,1,1041
,,,,,
modal logic,modal mu calculus,0.403583288,0.3,1,1042
,,,,,
"['modal mu calculus', 'tree width', 'temporal logic', 'parity games', 'buchi automata', 'alternating automata', 'modal logic']","['modal mu calculus', 'tree width', 'strongly connected component']",N/A,0.1,1,1043
,,,,,
product line selection and pricing,product line,0.402072817,0.2,1,1044
,,,,,
genetic algorithms,genetic algorithms,1,1,1,1045
,,,,,
branch and bound,pricing,-0.042785831,0.1,1,1046
,,,,,
labeling,pricing,0.184386611,0.2,1,1047
,,,,,
marketing,pricing,0.261932135,0.1,1,1048
,,,,,
operations,pricing,0.083930515,0.3,1,1049
,,,,,
operations management,pricing,0.153663352,0.2,1,1050
,,,,,
genetic programming,genetic algorithms,0.812928677,0.2,1,1051
,,,,,
"['product line selection and pricing', 'genetic algorithms', 'branch and bound', 'labeling', 'marketing', 'operations', 'operations management', 'genetic programming']","['product line', 'pricing', 'genetic algorithms', 'heuristics']",N/A,0.4,1,1052
,,,,,
functional control,predictive control,0.325183928,0.4,1,1053
,,,,,
air vehicle,decomposition methods,-0.06109051,0.3,1,1054
,,,,,
pitch angle control,predictive control,0.18238388,0.4,1,1055
,,,,,
predictive control,predictive control,1,1,1,1056
,,,,,
model predictive control,predictive control,0.368385375,0.5,1,1057
,,,,,
"['functional control', 'air vehicle', 'pitch angle control', 'predictive control', 'model predictive control']","['modelling', 'vibrations', 'compensation', 'decomposition methods', 'predictive control']",N/A,0.4,1,1058
,,,,,
electronic medical record,health information technology,0.210374698,0.2,1,1059
,,,,,
outpatient workflow,outpatient emr use,0.273873508,0.3,1,1060
,,,,,
concept mapping,health information technology,0.123413675,0.1,1,1061
,,,,,
health information technology,health information technology,1,0.4,1,1062
,,,,,
physician satisfaction,physicians adoption of emrs,0.215741158,0.5,1,1063
,,,,,
"['electronic medical record', 'outpatient workflow', 'concept mapping', 'health information technology', 'physician satisfaction']","['physicians adoption of emrs', 'diffusion of technology', 'health information technology', 'work flow effects', 'outpatient emr use']",N/A,0.4,1,1064
,,,,,
lattice boltzmann method,lattice boltzmann method,1,1,1,1065
,,,,,
aneurysm,aneurysm,0.999999762,0.2,1,1066
,,,,,
stent,stent,0.999999762,1,1,1067
,,,,,
extrapolation boundary,computational fluid dynamics,0.062782429,0.2,1,1068
,,,,,
object oriented,object oriented program,0.588452339,0.3,1,1069
,,,,,
"['lattice boltzmann method', 'aneurysm', 'stent', 'extrapolation boundary', 'object oriented']","['lattice boltzmann method', 'aneurysm', 'stent', 'computational fluid dynamics', 'object oriented program']",N/A,0.4,1,1070
,,,,,
coherence,coherent probability assessment,0.31473586,0.4,1,1071
,,,,,
partial probability assessment,coherent probability assessment,0.627058983,0.7,1,1072
,,,,,
satisfiability,probabilistic satisfiability,0.355030715,0.5,1,1073
,,,,,
boolean formulas,coherent probability assessment,0.146655321,0.4,1,1074
,,,,,
np complete problems,coherent probability assessment,-0.088615879,0.5,1,1075
,,,,,
"['coherence', 'partial probability assessment', 'satisfiability', 'boolean formulas', 'np complete problems']","['simplification rules', 'coherent probability assessment', 'probabilistic satisfiability']",N/A,0.2,1,1076
,,,,,
