,Prediction,Target,Bert scores,Human scores,F1
1780,load balancing,multiple path scheduling,0.198221013,0.02,0.0
1782,multipath scheduling,multiple path scheduling,0.524770141,0.34,0.0
1784,tcp,local domain,-0.120298252,0.2,0.0
1786,pnea,multiple path scheduling,-0.15447887800000001,0.12,0.0
1788,ieee 802.11,multiple path scheduling,-0.246416733,0.04,0.0
1790,"['load balancing', 'multipath scheduling', 'tcp', 'pnea', 'ieee 802.11']","['multiple path scheduling', 'multiple interface', 'local domain']",0.13119253516197205,0.02,0.0
1792,query by output,query by output,1.000000238,0.1,1.0
1794,data driven approach,instance equivalent queries,-0.003867829,0.2,0.0
1796,data classification,instance equivalent queries,0.097812161,0.32,0.0
1798,output query,query by output,0.38530618,0.87,0.0
1800,utility,query by output,-0.200897336,0.2,0.0
1802,query optimization,instance equivalent queries,0.28618428100000004,0.12,0.0
1804,"['query by output', 'data driven approach', 'data classification', 'output query', 'utility', 'query optimization']","['query by output', 'instance equivalent queries', 'at least one semantics']",0.2222222752041287,0.12,0.2222222222222222
1806,hiv <digit> reverse transcriptase,hiv <digit> rt,0.512147009,0.14,0.0
1808,dipyridodiazepinone derivatives,nevirapine,0.11299669,0.52,0.0
1810,comparative molecular field analysis,molecular modeling,0.38539096700000003,0.32,0.0
1812,semiempirical molecular orbital method,molecular modeling,0.275359631,0.21,0.0
1814,three dimensional qsar,3d qsar,0.622994125,0.32,0.0
1816,"['hiv <digit> reverse transcriptase', 'dipyridodiazepinone derivatives', 'comparative molecular field analysis', 'semiempirical molecular orbital method', 'three dimensional qsar']","['3d qsar', 'comfa', 'nevirapine', 'hiv <digit> rt', 'nnrti', 'quantum chemical calculations', 'molecular modeling']",0.18919018904368085,0.15,0.0
1818,radiosity method,hierarchical radiosity method,0.428891391,0.21,0.0
1820,global illumination,granularity,0.149395034,0.21,0.0
1822,task oriented shared memory,shared memory implementation,0.411745101,0.1,0.0
1824,sb pram,hierarchical radiosity method,-0.164298639,0.1,0.0
1826,parallel computing,shared memory implementation,0.232338428,0.1,0.0
1828,"['radiosity method', 'global illumination', 'task oriented shared memory', 'sb pram', 'parallel computing']","['shared memory implementation', 'hierarchical radiosity method', 'granularity', 'scalability', 'task parallelism']",0.16812729835510254,0.1,0.0
1830,frequent itemset mining,frequent itemsets,0.359623015,0.1,0.0
1832,data mining,data mining,1.0,1.0,1.0
1834,"['frequent itemset mining', 'data mining', 'data mining', 'data mining']","['algorithms', 'frequent itemsets', 'association rule mining', 'data mining']",0.375,0.23,0.75
1836,semi continuous network flow problems,network flow problems,0.593981385,0.34,0.0
1838,inflow sets,network flow problems,0.101116419,0.21,0.0
1840,transportation problems,network flow problems,0.5192132,0.1,0.0
1842,polyhedral results,network flow problems,0.15278418400000002,0.21,0.0
1844,np completeness,network flow problems,-0.195408151,0.21,0.0
1846,"['semi continuous network flow problems', 'inflow sets', 'transportation problems', 'polyhedral results', 'np completeness']","['network flow problems', 'mixed integer programming', 'semi continuous variables', '90c11', '90c35', '90c57']",0.2022933303247823,0.1,0.0
1848,message authentication code,block cipher,0.091383033,0.32,0.0
1850,hash function,one way hash function,0.532828569,0.1,0.0
1852,block cipher,block cipher,1.0,1.0,1.0
1854,cryptography,cryptography,0.9999997620000001,0.1,1.0
1856,cryptanalysis,cryptography,0.6681161520000001,0.65,0.0
1858,"['message authentication code', 'hash function', 'block cipher', 'cryptography', 'cryptanalysis']","['one way hash function', 'block cipher', 'mac', 'cryptography']",0.636678849652221,0.54,0.4444444444444445
1860,uncertainty,uncertainty propagation,0.670338571,0.54,0.0
1862,simulation,dynamic simulation,0.45214358,0.23,0.0
1864,gaussian quadrature,stochastic simulation,0.253995121,0.24,0.0
1866,percentiles,stochastic simulation,-0.065694824,0.12,0.0
1868,monte carlo,stochastic simulation,-0.09096855699999999,0.12,0.0
1870,"['uncertainty', 'simulation', 'gaussian quadrature', 'percentiles', 'monte carlo']","['dynamic simulation', 'uncertainty propagation', 'stochastic simulation']",0.2806205376982689,0.12,0.0
1872,jade,njade,0.6332402229999999,0.12,0.0
1874,higher order neurons,higher order neurons,1.0,0.32,1.0
1876,ica,njade,-0.016445993,0.43,0.0
1878,image processing,independent component analysis,0.183495149,0.54,0.0
1880,neural networks,neural network,0.8970662359999999,0.43,1.0
1882,pca learning rule,neural network,-0.004662257,0.13,0.0
1884,"['jade', 'higher order neurons', 'ica', 'image processing', 'neural networks', 'pca learning rule']","['njade', 'higher order neurons', 'natural images', 'independent component analysis', 'neural network']",0.46005571972240106,0.23,0.3636363636363636
1886,jpeg <digit>,jpeg <digit>,0.9999997620000001,1.0,1.0
1888,tiling artifacts,tiling artifacts,1.0,1.0,1.0
1890,arithmetic coding,tiling artifacts,0.24999946399999998,0.21,0.0
1892,jpeg2000,jpeg <digit>,0.357792616,0.65,0.0
1894,j,jpeg <digit>,0.06490088299999999,0.23,0.0
1896,"['jpeg <digit>', 'tiling artifacts', 'arithmetic coding', 'jpeg2000', 'jpeg2000', 'jpeg2000', 'jpeg2000', 'j']","['jpeg <digit>', 'tiling artifacts', 'rate control', 'acceleration of coding process']",0.3333332935969035,0.34,0.3333333333333333
1898,laparoscopic myomectomy,laparoscopic myomectomy,0.9999997620000001,0.45,1.0
1900,uterine myomas,uterine myoma,0.9167720079999999,0.23,1.0
1902,infertility,fertility,0.678972185,0.4,0.0
1904,hysteroromy,laparotomy,0.118387058,0.32,0.0
1906,enucleation,fertility,0.10921931300000001,0.32,0.0
1908,suturing,fertility,0.09995002300000001,0.21,0.0
1910,extraction,fertility,0.208989576,0.32,0.0
1912,implantation rate,fertility,0.019535808,0.21,0.0
1914,uterus sut,uterine myoma,0.0038428790000000004,0.21,0.0
1916,"['laparoscopic myomectomy', 'uterine myomas', 'infertility', 'hysteroromy', 'enucleation', 'suturing', 'extraction', 'implantation rate', 'uterus sut']","['laparoscopic myomectomy', 'uterine myoma', 'fertility', 'laparotomy']",0.39934522372025705,0.23,0.30769230769230765
1918,antioxidant,hydroxychalcones,0.016009342,0.23,0.0
1920,hydroxychalcone,hydroxychalcones,0.726533532,1.0,1.0
1922,electron transfer,hydrogen atom transfer,0.447598457,0.23,0.0
1924,hydrogen atom transfer,hydrogen atom transfer,1.0,1.0,1.0
1926,stepwise electron transfer proton transfer,stepwise electron transfer proton transfer,0.9999997620000001,0.12,1.0
1928,sequential proton loss electron transfer,sequential proton loss electron transfer,0.9999997620000001,1.0,1.0
1930,"['antioxidant', 'hydroxychalcone', 'electron transfer', 'hydrogen atom transfer', 'stepwise electron transfer proton transfer', 'sequential proton loss electron transfer']","['hydroxychalcones', 'radical scavenging', 'dft', 'hydrogen atom transfer', 'stepwise electron transfer proton transfer', 'sequential proton loss electron transfer']",0.6562755544286055,0.23,0.6666666666666666
1932,event based programming,program analysis,0.253468633,0.32,0.0
1934,immutability analysis,program analysis,0.304487497,0.21,0.0
1936,causality analysis,program analysis,0.38773983700000003,0.12,0.0
1938,distributed programming,distributed,0.39822781100000004,0.12,0.0
1940,event based software,program analysis,0.19419479399999998,0.31,0.0
1942,"['event based programming', 'immutability analysis', 'causality analysis', 'distributed programming', 'event based software']","['program analysis', 'event', 'distributed', 'language', 'correlation']",0.0,0.21,0.0
1944,dynamic geometry,dynamic geometry,1.0,1.0,1.0
1946,cocoa,envelopes,0.12239317599999999,0.21,0.0
1948,mathematica,dynamic geometry,0.245420739,0.35,0.0
1950,geometric software,dynamic geometry,0.282762945,0.65,0.0
1952,geometric curves,dynamic geometry,0.41963741200000004,0.43,0.0
1954,symbolic computation,symbolic computing,0.796492636,0.75,1.0
1956,"['dynamic geometry', 'cocoa', 'mathematica', 'geometric software', 'geometric curves', 'symbolic computation']","['envelopes', 'dynamic geometry', 'symbolic computing', 'symbolic numeric interface', 'groebner bases', 'caustics', 'pedals']",0.3567112409701682,0.34,0.30769230769230765
1958,okapi,probabilistic model,-0.10135368300000001,0.23,0.0
1960,contextual information retrieval,contextual information retrieval,1.0,0.1,1.0
1962,relevance feedback,contextual information retrieval,0.084577203,0.21,0.0
1964,query expansion with context,contextual information retrieval,0.21568146300000002,0.1,0.0
1966,blind learning,contextual information retrieval,0.07304519400000001,0.1,0.0
1968,"['okapi', 'contextual information retrieval', 'relevance feedback', 'query expansion with context', 'blind learning']","['contextual information retrieval', 'probabilistic model']",0.28571428571428575,0.1,0.28571428571428575
1970,ternary description language,system theoretical laws,0.081857666,0.12,0.0
1972,general systems theory,system theoretical laws,0.397378445,0.23,0.0
1974,axiomatic system,axioms,0.45253256,0.41,0.0
1976,system theory,system theoretical laws,0.5982499720000001,0.31,0.0
1978,axiom of inference,rules of substitution,0.280014545,0.51,0.0
1980,system of inference,rules of substitution,0.363243639,0.31,0.0
1982,"['ternary description language', 'general systems theory', 'axiomatic system', 'system theory', 'axiom of inference', 'system of inference']","['axioms', 'system theoretical laws', 'syntactical priority', 'synonymy', 'rules of substitution', 'rules of replacement', 'theorems of the tdl']",0.16165885099997887,0.13,0.0
1984,model quality,model quality,0.9999997620000001,0.41,1.0
1986,model based software development,model driven development,0.701543331,0.4,0.0
1988,systematic review,systematic review,1.000000238,0.51,1.0
1990,model quality goals,model quality,0.36313754299999995,0.52,0.0
1992,model quality practices,model quality,0.28653422,0.53,0.0
1994,"['model quality', 'model based software development', 'systematic review', 'model quality goals', 'model quality practices']","['modelling', 'model quality', 'systematic review', 'model driven development', 'uml']",0.540308666229248,0.42,0.4000000000000001
1996,animal identification,electronic identification,0.22268232699999999,0.32,0.0
1998,transponder,transponder,1.0,1.0,1.0
2000,ear tag,transponder,-0.093958899,0.1,0.0
2002,rumenal bolusses,ruminant bolus,0.40212151399999996,0.12,0.0
2004,ect,transponder,-0.133184835,0.31,0.0
2006,"['animal identification', 'transponder', 'ear tag', 'rumenal bolusses', 'ect', 'ect', 'ect', 'ect', 'ect', 'ect']","['transponder', 'electronic eartag', 'electronic identification', 'ruminant bolus']",0.20030307344027928,0.41,0.14285714285714288
2008,fractional variational iteration method,fractional variational iteration method,1.0,1.0,1.0
2010,fractional differential equations,fractional variational iteration method,0.486808687,0.53,0.0
2012,generalized lagrange multiplier,fractional variational iteration method,0.137271121,0.21,0.0
2014,fractional calculus,fractional variational iteration method,0.48926988200000004,0.32,0.0
2016,"['fractional variational iteration method', 'fractional differential equations', 'generalized lagrange multiplier', 'fractional calculus']","['fractional variational iteration method', 'modified riemannliouville derivative', 'fractional corrected functional']",0.4921206810116296,0.12,0.28571428571428575
2018,privacy control,privacy protection,0.783320725,0.14,0.0
2020,digital diorama,sensing based real world content,0.026329622,0.12,0.0
2022,sensor fusion,sensing based real world content,0.203031495,0.21,0.0
2024,real time sensing,sensing based real world content,0.202792108,0.32,0.0
2026,"['privacy control', 'digital diorama', 'sensor fusion', 'real time sensing']","['sensing based real world content', 'benefits of viewers', 'privacy protection']",0.22380592141832625,0.42,0.0
2028,wireless video streaming,wireless video streaming,0.9999997620000001,1.0,1.0
2030,approximate authentication,approximate authentication,1.0,1.0,1.0
2032,error resilience,error resilient video coding,0.29580307,0.67,0.0
2034,h. <digit> avc,qos,-0.031297419,0.12,0.0
2036,"['wireless video streaming', 'approximate authentication', 'error resilience', 'h. <digit> avc', 'h. <digit> avc']","['wireless video streaming', 'approximate authentication', 'error resilient video coding', 'security', 'qos']",0.3999999523162841,0.31,0.4000000000000001
2038,qos,qos resource management,0.444547743,0.41,0.0
2040,resource management,qos resource management,0.532929301,0.65,0.0
2042,java,qos resource management,-0.112457305,0.12,0.0
2044,federative resource management,cooperative resource sharing,0.44527068700000005,0.42,0.0
2046,qos federation,qos resource management,0.376210511,0.1,0.0
2048,"['qos', 'resource management', 'java', 'federative resource management', 'qos federation']","['qos resource management', 'distributed resources', 'cooperative resource sharing']",0.30389668528094543,0.32,0.0
2050,order batching,order batching,1.0,1.0,1.0
2052,order picking,order picking,0.9999997620000001,1.0,1.0
2054,on line scheduling,on line optimization,0.617777944,1.0,0.0
2056,competitive analysis of algorithms,on line optimization,0.18721675899999998,0.1,0.0
2058,"['order batching', 'order picking', 'on line scheduling', 'competitive analysis of algorithms']","['order batching', 'order picking', 'warehouse management', 'on line optimization']",0.6544444262981415,0.12,0.5
2060,noise,power supply noise,0.215138227,0.32,0.0
2062,decoupling capacitance,decoupling capacitance,0.9999997620000001,1.0,1.0
2064,active noise cancellation,active noise cancellation,1.0,1.0,1.0
2066,v sag,power distribution,-0.228464723,0.21,0.0
2068,"['noise', 'decoupling capacitance', 'active noise cancellation', 'v sag', 'v sag']","['power supply noise', 'decoupling capacitance', 'active noise cancellation', 'on chip interconnect', 'power distribution']",0.3999999523162841,0.1,0.4000000000000001
2070,modal mu calculus,modal mu calculus,1.0,1.0,1.0
2072,tree width,tree width,0.9999997620000001,1.0,1.0
2074,temporal logic,modal mu calculus,0.123681217,0.1,0.0
2076,parity games,modal mu calculus,-0.002295606,0.1,0.0
2078,buchi automata,modal mu calculus,-0.01255169,0.1,0.0
2080,alternating automata,modal mu calculus,-0.014622966000000001,0.1,0.0
2082,modal logic,modal mu calculus,0.403583288,0.3,0.0
2084,"['modal mu calculus', 'tree width', 'temporal logic', 'parity games', 'buchi automata', 'alternating automata', 'modal logic']","['modal mu calculus', 'tree width', 'strongly connected component']",0.4532763902765145,0.1,0.4
2086,product line selection and pricing,product line,0.402072817,0.2,0.0
2088,genetic algorithms,genetic algorithms,1.0,1.0,1.0
2090,branch and bound,pricing,-0.042785830999999996,0.1,0.0
2092,labeling,pricing,0.184386611,0.2,0.0
2094,marketing,pricing,0.261932135,0.1,0.0
2096,operations,pricing,0.083930515,0.3,0.0
2098,operations management,pricing,0.153663352,0.2,0.0
2100,genetic programming,genetic algorithms,0.812928677,0.2,0.0
2102,"['product line selection and pricing', 'genetic algorithms', 'branch and bound', 'labeling', 'marketing', 'operations', 'operations management', 'genetic programming']","['product line', 'pricing', 'genetic algorithms', 'heuristics']",0.30937461136286193,0.4,0.16666666666666666
2104,functional control,predictive control,0.325183928,0.4,0.0
2106,air vehicle,decomposition methods,-0.06109051,0.3,0.0
2108,pitch angle control,predictive control,0.18238388,0.4,0.0
2110,predictive control,predictive control,1.0,1.0,1.0
2112,model predictive control,predictive control,0.368385375,0.5,0.0
2114,"['functional control', 'air vehicle', 'pitch angle control', 'predictive control', 'model predictive control']","['modelling', 'vibrations', 'compensation', 'decomposition methods', 'predictive control']",0.20000000000000004,0.4,0.20000000000000004
2116,electronic medical record,health information technology,0.210374698,0.2,0.0
2118,outpatient workflow,outpatient emr use,0.273873508,0.3,0.0
2120,concept mapping,health information technology,0.123413675,0.1,0.0
2122,health information technology,health information technology,1.0,0.4,1.0
2124,physician satisfaction,physicians adoption of emrs,0.21574115800000002,0.5,0.0
2126,"['electronic medical record', 'outpatient workflow', 'concept mapping', 'health information technology', 'physician satisfaction']","['physicians adoption of emrs', 'diffusion of technology', 'health information technology', 'work flow effects', 'outpatient emr use']",0.20000000000000004,0.4,0.20000000000000004
2128,lattice boltzmann method,lattice boltzmann method,1.0,1.0,1.0
2130,aneurysm,aneurysm,0.9999997620000001,0.2,1.0
2132,stent,stent,0.9999997620000001,1.0,1.0
2134,extrapolation boundary,computational fluid dynamics,0.062782429,0.2,0.0
2136,object oriented,object oriented program,0.5884523389999999,0.3,0.0
2138,"['lattice boltzmann method', 'aneurysm', 'stent', 'extrapolation boundary', 'object oriented']","['lattice boltzmann method', 'aneurysm', 'stent', 'computational fluid dynamics', 'object oriented program']",0.717690372467041,0.4,0.6
2140,coherence,coherent probability assessment,0.31473586,0.4,0.0
2142,partial probability assessment,coherent probability assessment,0.627058983,0.7,0.0
2144,satisfiability,probabilistic satisfiability,0.355030715,0.5,0.0
2146,boolean formulas,coherent probability assessment,0.146655321,0.4,0.0
2148,np complete problems,coherent probability assessment,-0.08861587900000001,0.5,0.0
2150,"['coherence', 'partial probability assessment', 'satisfiability', 'boolean formulas', 'np complete problems']","['simplification rules', 'coherent probability assessment', 'probabilistic satisfiability']",0.15676474571228027,0.2,0.0
2152,greedy algorithm,distributed greedy algorithm,0.373361975,0.3,0.0
2154,distributed algorithm,distributed greedy algorithm,0.724396646,0.4,0.0
2156,asynchronous broadcast,ad hoc network,0.273023367,0.2,0.0
2158,k dominating set,dominating set,0.315689176,0.4,0.0
2160,"['greedy algorithm', 'distributed algorithm', 'asynchronous broadcast', 'k dominating set']","['dominating set', 'routing', 'distributed greedy algorithm', 'ad hoc network']",0.18109916150569916,0.3,0.0
2162,transformation performance,transformation performance,1.0,0.5,1.0
2164,undesirable output,transformation performance,-0.043505576,0.1,0.0
2166,malmquist resource performance index,transformation performance,0.133780539,0.3,0.0
2168,sigma convergence test,convergence test,0.535939634,0.2,0.0
2170,absolute beta convergence test,convergence test,0.438012064,0.3,0.0
2172,conditional beta convergence test,convergence test,0.45082542299999995,0.4,0.0
2174,"['transformation performance', 'undesirable output', 'malmquist resource performance index', 'sigma convergence test', 'absolute beta convergence test', 'conditional beta convergence test']","['convergence test', 'transformation performance', 'resource cities']",0.45170627613939185,0.5,0.2222222222222222
2176,ant colony optimization,ant colony optimization,0.9999997620000001,1.0,1.0
2178,clustering,clustering,1.000000238,1.0,1.0
2180,multi objective,multiple objectives,0.6560000779999999,0.8,0.0
2182,swarm intelligence,clustering,0.09939438800000001,1.0,0.0
2184,"['ant colony optimization', 'clustering', 'multi objective', 'swarm intelligence']","['ant colony optimization', 'clustering', 'data set reduction', 'multiple objectives']",0.6640000194311142,0.2,0.5
2186,euclidean distance,euclidean distance,1.0,1.0,1.0
2188,privacy preserving data mining,data mining,0.37261489,0.2,0.0
2190,privacy breach,privacy,0.440175474,0.5,0.0
2192,data perturbation attack,data perturbation,0.696448445,0.7,0.0
2194,"['euclidean distance', 'privacy preserving data mining', 'privacy breach', 'data perturbation attack']","['euclidean distance', 'data perturbation', 'privacy', 'data mining']",0.5341559797525406,0.5,0.25
2196,augmentation,augmented image synthesis,0.402748376,0.4,0.0
2198,camera image,augmented image synthesis,0.061022289,0.2,0.0
2200,near field illumination,global illumination,0.355505705,0.3,0.0
2202,importance sampling,global illumination,-0.053225264,0.3,0.0
2204,shadow maps,global illumination,0.098531194,0.2,0.0
2206,hdr,global illumination,-0.157196954,0.1,0.0
2208,"['augmentation', 'camera image', 'near field illumination', 'importance sampling', 'shadow maps', 'hdr']","['global illumination', 'augmented image synthesis']",0.10068709403276443,0.21,0.0
2210,dynamic programming,dynamic programming,1.0,1.0,1.0
2212,approximation algorithms,approximation algorithm,0.918174863,1.0,1.0
2214,sequence alignment,local alignment,0.394812137,0.12,0.0
2216,local alignment,local alignment,0.9999997620000001,1.0,1.0
2218,fractional programming,fractional programming,1.0,1.0,1.0
2220,snp,dynamic programming,-0.076503389,0.04,0.0
2222,"['dynamic programming', 'approximation algorithms', 'sequence alignment', 'local alignment', 'fractional programming', 'snp']","['dynamic programming', 'approximation algorithm', 'local alignment', 'cyclic sequence comparison', 'fractional programming', 'normalized local alignment', 'length restricted local alignment', 'ratio maximization']",0.6355165731003493,0.03,0.5714285714285715
2224,timing behaviour,learning to time model,0.002438293,0.23,0.0
2226,peak interval procedure,peak procedure,0.582863331,0.12,0.0
2228,akaike information criterion,akaike information criterion,1.000000238,0.32,1.0
2230,learning to time model,learning to time model,1.0,1.0,1.0
2232,scalar expectancy model,scalar expectancy theory,0.857108057,0.32,0.0
2234,"['timing behaviour', 'peak interval procedure', 'akaike information criterion', 'learning to time model', 'scalar expectancy model']","['scalar expectancy theory', 'basic clock speed', 'peak procedure', 'scalar property', 'akaike information criterion', 'learning to time model']",0.6693789919338999,0.43,0.3636363636363636
2236,support vector machines,support vector machines,1.0,1.0,1.0
2238,classification,classification,1.0,1.0,1.0
2240,regression,regression,1.0,0.11,1.0
2242,libsvm,support vector machines,0.018056318000000002,1.0,0.0
2244,bias variance decomposition,classification,0.11947909,1.0,0.0
2246,svm benchmarking,comparative study,0.098148957,0.1,0.0
2248,"['support vector machines', 'classification', 'regression', 'libsvm', 'bias variance decomposition', 'svm benchmarking']","['support vector machines', 'benchmark', 'classification', 'regression', 'comparative study']",0.5454545454545454,0.2,0.5454545454545454
2250,cascade,tables,0.198974192,0.1,0.0
2252,mobile,auto transformation,0.29340386399999996,0.1,0.0
2254,column row expansion,auto transformation,0.172019735,0.1,0.0
2256,data access table,tables,0.177021667,0.43,0.0
2258,data migration,auto transformation,0.27278885199999997,0.21,0.0
2260,"['cascade', 'mobile', 'column row expansion', 'data access table', 'data migration']","['tables', 'small screen', 'handheld device', 'pda', 'auto transformation', 'focus context']",0.0,0.43,0.0
2262,polynomials over the reals,polynomial orderings,0.171288088,0.34,0.0
2264,termination,termination,0.999999583,1.0,1.0
2266,rewriting,program analysis,0.115292184,0.12,0.0
2268,algebraic real co efficients,polynomial orderings,0.12654474400000001,0.32,0.0
2270,first order logic,polynomial orderings,0.185971007,0.12,0.0
2272,real closed fields,program analysis,-0.073040627,0.1,0.0
2274,tarski's logic,program analysis,0.046269193,0.12,0.0
2276,"['polynomials over the reals', 'termination', 'rewriting', 'algebraic real co efficients', 'first order logic', 'real closed fields', ""tarski's logic""]","['termination', 'program analysis', 'term rewriting', 'polynomial orderings']",0.18181810595772482,0.32,0.18181818181818182
2278,coherent energy,coherent energy,1.0,1.0,1.0
2280,cognitive radio,cognitive radio,1.000000238,1.0,1.0
2282,time correlation law,random matrix theory,0.20186826600000002,0.1,0.0
2284,gaussian colored noise,colored noise,0.6007221939999999,0.1,0.0
2286,spectral analysis,random matrix theory,0.19100315899999998,0.1,0.0
2288,"['coherent energy', 'cognitive radio', 'time correlation law', 'gaussian colored noise', 'spectral analysis']","['coherent energy', 'cognitive radio', 'colored noise', 'random matrix theory']",0.5779383182525636,0.32,0.4444444444444445
2290,scheduling,quality information delivery,0.022084067000000002,0.12,0.0
2292,mobile ad hoc networks,mobile ad hoc networks,1.0,1.0,1.0
2294,optimal stopping,optimal stopping theory,0.656948805,0.78,0.0
2296,quality of service,quality information delivery,0.40681481399999997,0.3,0.0
2298,"['scheduling', 'mobile ad hoc networks', 'optimal stopping', 'quality of service']","['mobile ad hoc networks', 'optimal stopping theory', 'quality information delivery']",0.5896467481340681,0.12,0.28571428571428575
2300,semantic analysis,semantic analysis,1.0,1.0,1.0
2302,information extraction,information extraction,1.0,1.0,1.0
2304,ontology,ontology,1.0,1.0,1.0
2306,terrorism,owl,0.323827624,0.1,0.0
2308,semantic web,semantic analysis,0.6760808229999999,0.2,0.0
2310,"['semantic analysis', 'information extraction', 'ontology', 'terrorism', 'semantic web']","['nlp', 'semantic analysis', 'information extraction', 'natural language processing', 'intelligent analysis', 'ontology', 'modeling', 'owl']",0.5801112744220439,0.4,0.4615384615384615
2312,training strategies,stable training,0.281895399,0.1,0.0
2314,variable structure systems,variable structure systems,1.0,1.0,1.0
2316,global stability,stable training,0.149923816,0.2,0.0
2318,gradient descent,gradient descent,0.9999997620000001,0.1,1.0
2320,fuzzy control,fuzzy control,1.0,1.0,1.0
2322,lyapunov stability,stable training,-0.073883273,0.1,0.0
2324,"['training strategies', 'variable structure systems', 'global stability', 'gradient descent', 'fuzzy control', 'lyapunov stability']","['variable structure systems', 'gradient descent', 'fuzzy control', 'stable training']",0.5999999523162841,0.23,0.6
2326,recruit distribution,recruit distribution,1.000000238,1.0,1.0
2328,decision support system,decision support system,0.9999997620000001,1.0,1.0
2330,data integrity,manpower modeling,0.092906006,0.32,0.0
2332,marine personnel management,manpower modeling,0.273227096,0.12,0.0
2334,decision making,decision support system,0.441961318,0.32,0.0
2336,"['recruit distribution', 'decision support system', 'data integrity', 'marine personnel management', 'decision making', 'decision support system']","['recruit distribution', 'decision support system', 'manpower modeling']",0.6166763559427795,0.45,0.6666666666666666
2338,lattice boltzmann method,lattice boltzmann methods,0.931614101,0.96,1.0
2340,homogenization,unsaturated soil physics,-0.057736572,0.1,0.0
2342,multiphase flow,lattice boltzmann methods,-0.05530306,0.1,0.0
2344,virtual soil,unsaturated soil physics,0.07537912599999999,0.1,0.0
2346,water content,unsaturated soil physics,-0.074600734,0.32,0.0
2348,"['lattice boltzmann method', 'homogenization', 'multiphase flow', 'virtual soil', 'water content']","['lattice boltzmann methods', 'unsaturated soil physics']",0.26617545740945003,0.1,0.28571428571428575
2350,sampling,sampling framework,0.547095835,0.65,0.0
2352,anomaly detection,anomaly detection,0.9999997620000001,1.0,1.0
2354,next generation network,next generation network,0.9999997620000001,1.0,1.0
2356,traffic monitoring,traffic measurement,0.7599757909999999,0.45,0.0
2358,"['sampling', 'anomaly detection', 'next generation network', 'traffic monitoring']","['sampling framework', 'anomaly detection', 'next generation network', 'scalability', 'traffic measurement', 'accuracy']",0.6614142298698426,0.12,0.4
2360,separator,optimization,-0.050646237999999996,0.12,0.0
2362,polyhedra,polyhedra,1.0,1.0,1.0
2364,complexity,complexity theory,0.567920923,0.54,0.0
2366,approximation algorithms,approximation algorithms,0.9999997620000001,1.0,1.0
2368,graph algorithms,graph partitioning,0.40766680200000005,0.54,0.0
2370,k ) free graphs,graph partitioning,-0.03436359,0.21,0.0
2372,"['separator', 'polyhedra', 'complexity', 'approximation algorithms', 'graph algorithms', 'k ) free graphs', 'k ) free graphs', 'k ) free graphs', 'k ) free graphs']","['polyhedra', 'approximation algorithms', 'graph partitioning', 'complexity theory', 'optimization']",0.4250839267458234,0.34,0.2857142857142857
2374,z isomers,atoms in molecules,-0.09248457800000001,0.21,0.0
2376,phenylflavans,phenylflavans,1.0,1.0,1.0
2378,pcm,molecular dipole moment,-0.0036192,0.32,0.0
2380,atoms in molecules,atoms in molecules,1.0,1.0,1.0
2382,natural bond orbital,natural bond orbital analysis,0.430349231,1.0,0.0
2384,intrinsic properties,antioxidants,0.02032393,0.32,0.0
2386,polar solvent,aqueous solvent effect,0.216365397,0.43,0.0
2388,reactivity,aqueous solvent effect,-0.10903281,0.23,0.0
2390,df,phenylflavans,-0.226061657,0.1,0.0
2392,"['z isomers', 'phenylflavans', 'pcm', 'atoms in molecules', 'natural bond orbital', 'intrinsic properties', 'polar solvent', 'reactivity', 'reactivity', 'df']","['phenylflavans', 'antioxidants', 'atoms in molecules', 'aqueous solvent effect', 'molecular dipole moment', 'natural bond orbital analysis']",0.303793653845787,0.21,0.25
2394,architecture,architecture,1.000000238,1.0,1.0
2396,cybernetics,cybernetics,1.0,1.0,1.0
2398,art,technology,0.17914018,0.2,0.0
2400,design practice,technology,0.20425985800000002,0.12,0.0
2402,"['architecture', 'cybernetics', 'art', 'design practice']","['metaphor', 'experience', 'aesthetics', 'architecture', 'technology', 'cybernetics']",0.40000004768371583,0.05,0.4
2404,agent technologies,agent technologies,1.0,1.0,1.0
2406,sensor networks,sensor networks,1.0,1.0,1.0
2408,multi agent systems,sensor networks,0.254299432,0.12,0.0
2410,agent based systems,agent technologies,0.40040689700000004,0.23,0.0
2412,agent based modeling,agent technologies,0.303029537,0.3,0.0
2414,"['agent technologies', 'sensor networks', 'multi agent systems', 'agent based systems', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling']","['agent technologies', 'sensor networks', 'networks']",0.3429624012110062,0.43,0.28571428571428575
2416,consensus,group consensus opinion,0.300114781,0.43,0.0
2418,group decision making,multi criteria decision making,0.575591981,0.43,0.0
2420,weighted dissimilarity,group consensus opinion,-0.092380591,0.1,0.0
2422,fuzzy sets,fuzzy numbers,0.606124103,0.23,0.0
2424,fuzzy numbers,fuzzy numbers,0.9999997620000001,1.0,1.0
2426,"['consensus', 'group decision making', 'weighted dissimilarity', 'fuzzy sets', 'fuzzy numbers']","['fuzzy individual opinions', 'fuzzy opinions aggregation', 'group consensus opinion', 'fuzzy numbers', 'multi criteria decision making']",0.4860758630486436,0.12,0.20000000000000004
