Keyphrase,Ground Truth,Score
osteoclasts,osteocytes,0.35
,,
osteoporosis,osteoclast,0.35
,,
hydroxyapatite,osteocytes,0.27
,,
spongy bone,osteocytes,0.35
,,
kinetic model,mineralisation,0.15
,,
end of document,,
,,
robustness,image watermarking,0.15
,,
end of document,,
,,
outer product of gradients,dimension reduction,0.2
,,
end of document,,
,,
end of document,,
,,
radar,image fusion,0.15
,,
gaussian rayleigh mixture distribution,fuzzy logic,0.2
,,
polarimetric data,image fusion,0.25
,,
multi view data,image fusion,0.25
,,
end of document,,
,,
turing machines,satisfiability,0.18
,,
boolean circuits,satisfiability,0.14
,,
sat problems,satisfiability,0.05
,,
end of document,,
,,
codomain,cuts,0.1
,,
end of document,,
,,
mapk,cardiac hypertrophy,0.05
,,
jak stat,cardiac myocytes,0.05
,,
pkc,cardiac myocytes,0.05
,,
calcineurin,cardiac myocytes,0.1
,,
ion channels,cardiac myocytes,0.1
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
hierarchical structure,fuzzy labels,0.1
,,
boolean query,relational database,0.15
,,
end of document,,
,,
end of document,,
,,
ray caster,webgl,0.05
,,
texture slicer,webgl,0.05
,,
gpu computing,gpu,0.8
,,
end of document,,
,,
inversion measure,constant factors,0.15
,,
randomized algorithms,priority queues,0.15
,,
worst case analysis,priority queues,0.15
,,
end of document,,
,,
94b05,greedy codes,0.2
,,
94b25,greedy codes,0.2
,,
end of document,,
,,
simulation,state forecasting,0.1
,,
eps,maintenance management,0.1
,,
end of document,,
,,
collaboration,compliance,0.05
,,
end of document,,
,,
precision agriculture,automatic guidance,0.1
,,
end of document,,
,,
virulence factors,inhibitor,0.1
,,
regulatory networks,boolean network,0.5
,,
end of document,,
,,
fuzzy bitopological space,alpha level bitopological spaces,0.45
,,
fuzzy topology,strong fuzzy pairwise separation axioms,0.45
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
directed network of data blocks,forward network,0.3
,,
pls regression,linear regression,0.6
,,
score loading vector,forward network,0.15
,,
re sampling,pls,0.1
,,
pca and pls regression,linear regression,0.3
,,
end of document,,
,,
joint processing,channel equalizer,0.15
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
intelligent learning diagnosis system,fuzzy expert system,0.32
,,
thematic learning model,learning diagnosis,0.3
,,
knowledge integration,web based learning,0.15
,,
end of document,,
,,
end of document,,
,,
lumbar spine,computed tomography,0.06
,,
end of document,,
,,
boolean function,lattice,0.05
,,
boole,farey sequence,0.05
,,
end of document,,
,,
spurious pressure modes,mixed finite elements,0.05
,,
bdfm1 element pairs,stability,0.05
,,
p1dg element pairs,stability,0.05
,,
r,stability,0
,,
end of document,,
,,
quasi floating gate,direct conversion receivers,0.1
,,
settling time,dc offset,0.04
,,
cmos receiver chain,direct conversion receivers,0.3
,,
end of document,,
,,
experience evaluation,rule experience,0.47
,,
pattern association,rule experience,0.15
,,
pattern recognition,classifier systems,0.15
,,
mobile robot,reinforcement policy,0.2
,,
end of document,,
,,
design guidelines,perceptual style,0.15
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
doe,assembly precedence diagrams,0.05
,,
heuristics,assembly precedence diagrams,0.05
,,
kbe,neural networks,0.05
,,
assembly constraints,assembly precedence diagrams,0.42
,,
end of document,,
,,
end of document,,
,,
tunneling behavior,offset voltage,0.05
,,
end of document,,
,,
chemistry,centrality,0.05
,,
end of document,,
,,
end of document,,
,,
nonstationary signals,time varying filtering,0.05
,,
low snr environment,time varying filtering,0.05
,,
end of document,,
,,
quadrupedal locomotion,rhythmic motion,0.05
,,
end of document,,
,,
trust region method,filter,0.05
,,
end of document,,
,,
ls optimization,multilinear pls,0.15
,,
end of document,,
,,
morphological operator,feature extraction,0.1
,,
erosion,symmetry transforms,0.05
,,
end of document,,
,,
local refinement,projection method,0.05
,,
orography,gravity waves,0.05
,,
end of document,,
,,
motion blur,motion compensated reconstruction,0.3
,,
end of document,,
,,
optimisation,environment,0.05
,,
end of document,,
,,
unsupervised construction,optimal experimental design,0.05
,,
end of document,,
,,
nodule registration,pulmonary nodule registration,0.72
,,
ct image,computed tomography,0.28
,,
end of document,,
,,
lego nxt,social robot,0.2
,,
topobo,robotics,0.15
,,
learning disabilities,educational technology,0.1
,,
end of document,,
,,
end of document,,
,,
divisor,digit recurrence division,0.3
,,
partial remainder,quotient digit selection,0.29
,,
redundant divider,digit selector pla,0.22
,,
digit selection,quotient digit selection,0.7
,,
end of document,,
,,
wrist posture,posture,0.68
,,
image analysis,posture,0.2
,,
end of document,,
,,
end of document,,
,,
fuzzy less strong semicontinuity,fuzzy topology,0.29
,,
end of document,,
,,
faulty key,block ciphers,0.15
,,
end of document,,
,,
graph,unigraphs,0.35
,,
algorithm,frequency assignment,0.15
,,
l labeling,frequency assignment,0.15
,,
end of document,,
,,
ground control station,route creation validation algorithms,0.1
,,
unmanned aerial system,route creation validation algorithms,0.1
,,
autonomous replanning,route creation validation algorithms,0.2
,,
end of document,,
,,
automatic differentiation,algorithms,0.15
,,
frechet derivatives,object oriented matlab,0.15
,,
nonlinear bvps,algorithms,0.15
,,
end of document,,
,,
end of document,,
,,
predatorprey system,dispersion,0.15
,,
coincidence degree,time delay,0.15
,,
end of document,,
,,
eavesdropping attack,security,0.2
,,
end of document,,
,,
orthogonal,package,0.1
,,
prism,package,0.05
,,
fem,package,0.05
,,
end of document,,
,,
jealousy,networks,0
,,
self esteem,psychological factors,0.15
,,
end of document,,
,,
pairwise distance,nonlinear dimensionality reduction,0.1
,,
manifold learning,nonlinear dimensionality reduction,0.1
,,
end of document,,
,,
end of document,,
,,
contract,outsourcing,0.25
,,
software engineering,outsourcing,0.15
,,
software process,outsourcing,0.15
,,
end of document,,
,,
saccule,prefrontal,0.15
,,
vep,human,0.15
,,
thalamus,prefrontal,0.15
,,
otolith,prefrontal,0.15
,,
o,human,0
,,
end of document,,
,,
end of document,,
,,
reanalysis,sensitivity reanalysis,0.55
,,
structural optimization,efficient reanalysis,0.15
,,
repeated analysis,combined approximations,0.15
,,
end of document,,
,,
online learning environment,e learning,0.85
,,
online certification,self learning,0.7
,,
end of document,,
,,
seam computation,interactive image boundaries,0.15
,,
image mosaic,interactive image boundaries,0.4
,,
image processing,interactive image boundaries,0.2
,,
end of document,,
,,
service abstraction,abstraction recovery,0.45
,,
service discovery,abstraction recovery,0.15
,,
end of document,,
,,
model adaptation,speaker adaptation,0.45
,,
end of document,,
,,
chebyshev polynomials,spectral collocation methods,0.15
,,
end of document,,
,,
end of document,,
,,
allocation,fragmentation,0.1
,,
reallocation,fragmentation,0.1
,,
dynamic allocation,fragmentation,0.1
,,
end of document,,
,,
workflow,cpoe,0.05
,,
intervention,cpoe,0.05
,,
end of document,,
,,
collocation matrix,axisymmetric problems,0.05
,,
end of document,,
,,
bayesian inference,mixture distribution,0.15
,,
mcmc,markov chain monte carlo,1
,,
end of document,,
,,
replica exchange,namd,0.05
,,
end of document,,
,,
end of document,,
,,
statpack,emergencies,0.05
,,
end of document,,
,,
column generation,balanced matrices,0.05
,,
co occurrence graphs,cnf formulas,0.15
,,
end of document,,
,,
end of document,,
,,
recursive least squares,ordered successive interference cancelation,0.05
,,
dichotomous coordinate descent,mimo systems,0.05
,,
end of document,,
,,
orthogonal frequency division multiplexing,interleavers,0.15
,,
end of document,,
,,
coupled navierstokes and darcy system,two phase flow,0.05
,,
end of document,,
,,
multilayer perceptron,extreme learning machine,0.22
,,
reduced reference model,circular backpropagation,0.25
,,
end of document,,
,,
batch sequencing,scheduling,0.15
,,
dynamic batch sizing,scheduling,0.15
,,
end of document,,
,,
loss of precision,neumann series,0.15
,,
end of document,,
,,
ieee 802.11,wireless sensor network,0.5
,,
802.15.4,radio over fiber,0.2
,,
end of document,,
,,
end of document,,
,,
distributed data centers,scheduling heuristics,0.15
,,
multi objective optimization,scheduling heuristics,0.15
,,
end of document,,
,,
engineering intent,collaborative engineering,0.37
,,
end of document,,
,,
end of document,,
,,
checkerboard invariants,lattice bgk model,0.15
,,
d,accuracy,0
,,
end of document,,
,,
component interaction automata,partition refinement,0.1
,,
end of document,,
,,
data replication,data grid,0.38
,,
data reliability,data grid,0.4
,,
end of document,,
,,
approximation algorithms,power assignment,0.15
,,
end of document,,
,,
anova f,simulation,0.15
,,
variance ratio,simulation,0.15
,,
end of document,,
,,
sequential pattern mining,data mining,0.35
,,
end of document,,
,,
hardware implementation,prediction,0.05
,,
end of document,,
,,
mpsoc,communication synthesis,0.05
,,
mp3,communication synthesis,0.05
,,
rtl synthesis,communication synthesis,0.4
,,
rtl bridges,communication synthesis,0.22
,,
end of document,,
,,
vlsi design,efficient implementation,0.15
,,
newspaper layout,strip packing,0.1
,,
end of document,,
,,
artefacts,phase transition,0.1
,,
end of document,,
,,
lens model,camera identification,0.23
,,
forensic analysis,camera identification,0.05
,,
end of document,,
,,
end of document,,
,,
surgical workflow,workflow,0.59
,,
end of document,,
,,
seismicity,olivine,0.05
,,
seismic velocity,density anomaly,0.2
,,
buoyancy forces,phase transitions,0.1
,,
end of document,,
,,
user preference analysis,social network,0.1
,,
dynamic social influence,social network,0.36
,,
end of document,,
,,
clustering,similarity measure,0.5
,,
end of document,,
,,
concurrent programs,concurrency,0.75
,,
skolem's functions,parallelism,0.15
,,
end of document,,
,,
concurrency control,decentralization,0.15
,,
inconsistency repair,data integration,0.15
,,
end of document,,
,,
end of document,,
,,
feature extraction,face recognition,0.3
,,
maximum scatter difference,fisher linear discriminant,0.15
,,
end of document,,
,,
end of document,,
,,
benefits,smes,0.15
,,
end of document,,
,,
microgrid,distributed energy resources,0.15
,,
symmetrical uncertainty,incomplete information,0.1
,,
multi objective,incomplete information,0.12
,,
end of document,,
,,
logical frameworks,rough sets,0.1
,,
end of document,,
,,
invariant manifold method,optimal vector method,0.05
,,
hopf bifurcation,optimal vector method,0.05
,,
slow manifold method,optimal vector method,0.05
,,
end of document,,
,,
gis,accessibility,0.05
,,
routes,accessibility,0.05
,,
scheduling,accessibility,0.05
,,
design,accessibility,0.05
,,
human factors,geographic information systems,0.05
,,
transit planning,geographic information systems,0.15
,,
transit access,accessibility,0.5
,,
end of document,,
,,
compression,complexity,0.05
,,
regular subsquares,square images,0.15
,,
image processing,finite automata,0.15
,,
end of document,,
,,
end of document,,
,,
multi channel scattering,multi channel adiabatic approximation,0.5
,,
oblate spheroidal eigenvalues,multi channel adiabatic approximation,0.15
,,
end of document,,
,,
bregman distance,lazy learning,0.15
,,
end of document,,
,,
transportation,job shop scheduling,0.15
,,
alternative route risk,job shop scheduling,0.05
,,
end of document,,
,,
split forcing,direct forcing method,0.35
,,
diffuse interface,stationary complex boundary,0.15
,,
sharp interface,stationary complex boundary,0.15
,,
end of document,,
,,
voxel coverage,coverage representation,0.45
,,
3d reconstruction,distance transform,0.15
,,
end of document,,
,,
resampling,tamper hiding,0.05
,,
end of document,,
,,
sum optimal,rank number,0.15
,,
path,rank number,0.15
,,
cycle,rank number,0.15
,,
end of document,,
,,
automorphism group,orbit,0.05
,,
end of document,,
,,
facilitation,calcium,0.05
,,
priming,calcium,0.05
,,
release,calcium,0.05
,,
end of document,,
,,
viscoelastic,correspondence principle,0.05
,,
functionally graded material,linear elasticity,0.15
,,
end of document,,
,,
power distribution system,power distribution system reconfiguration,0.85
,,
optimization,genetic algorithm,0.15
,,
arbitrary cost functions,steiner tree problem,0.1
,,
end of document,,
,,
relative coordination,spatial data,0.15
,,
end of document,,
,,
end of document,,
,,
dft,ab initio,0
,,
end of document,,
,,
linear time,very large scale integration,0.1
,,
single fault,open interconnect,0.1
,,
bridging fault,open interconnect,0.1
,,
end of document,,
,,
hep experiments,asynchronous communications,0.15
,,
process control,asynchronous communications,0.15
,,
distributed computing,asynchronous communications,0.05
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
goal specificity,mirror neurons,0.05
,,
emergence,mirror neurons,0.05
,,
end of document,,
,,
sbf,iterators,0.15
,,
metric,quality models,0.1
,,
end of document,,
,,
comparison matrix,stability,0.05
,,
end of document,,
,,
global education,double degree,0.15
,,
cs education,curriculum,0.15
,,
end of document,,
